-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us      35.391ms        48.95%      35.391ms     221.196us           0 B           0 B           0 B           0 B           160  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      34.827ms        48.17%      34.827ms     217.667us           0 B           0 B           0 B           0 B           160  
                                               aten::mm         4.74%       8.594ms         6.49%      11.759ms      10.315us      26.501ms        36.66%      26.501ms      23.246us           0 B           0 B      31.95 MB      31.95 MB          1140  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      26.501ms        36.66%      26.501ms      23.246us           0 B           0 B           0 B           0 B          1140  
                     aten::_efficient_attention_forward         0.63%       1.146ms         1.44%       2.601ms      16.254us      23.642ms        32.70%      23.642ms     147.762us       2.50 KB           0 B       2.50 MB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us      23.642ms        32.70%      23.642ms     147.762us           0 B           0 B           0 B           0 B           160  
                                                rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      10.224ms        14.14%      10.224ms      30.070us           0 B           0 B           0 B           0 B           340  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       9.879ms        13.67%       9.879ms       6.175us           0 B           0 B           0 B           0 B          1600  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       9.505ms        13.15%       9.505ms      59.405us           0 B           0 B           0 B           0 B           160  
                                            aten::copy_         1.75%       3.176ms         6.34%      11.496ms      10.227us       9.049ms        12.52%       9.049ms       8.051us           0 B           0 B           0 B           0 B          1124  
