-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us      52.755ms        45.25%      52.755ms     329.716us           0 B           0 B           0 B           0 B           160  
                     aten::_efficient_attention_forward         0.57%       1.159ms         1.38%       2.833ms      17.709us      43.683ms        37.47%      43.683ms     273.022us       2.50 KB           0 B       5.00 MB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us      43.683ms        37.47%      43.683ms     273.022us           0 B           0 B           0 B           0 B           160  
                                               aten::mm         4.38%       8.981ms         6.22%      12.766ms      11.198us      39.095ms        33.53%      39.095ms      34.294us           0 B           0 B      63.91 MB      63.91 MB          1140  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      26.585ms        22.80%      26.585ms      27.693us           0 B           0 B           0 B           0 B           960  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      25.007ms        21.45%      25.007ms     156.294us           0 B           0 B           0 B           0 B           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.575ms        15.08%      17.575ms      10.984us           0 B           0 B           0 B           0 B          1600  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us      17.447ms        14.97%      17.447ms     109.042us           0 B           0 B           0 B           0 B           160  
                                            aten::copy_         1.54%       3.168ms         7.11%      14.582ms      12.973us      16.689ms        14.32%      16.690ms      14.849us           0 B           0 B           0 B           0 B          1124  
                                   attention/gqa_repeat         0.00%       0.000us         0.00%       0.000us       0.000us      15.461ms        13.26%      15.461ms      96.633us           0 B           0 B           0 B           0 B           160  
