-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         7.63%       8.121ms        10.55%      11.233ms       9.853us      22.611ms        65.27%      22.611ms      19.834us           0 B           0 B       3.99 MB       3.99 MB          1140  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      21.772ms        62.84%      21.772ms     136.073us           0 B           0 B           0 B           0 B           160  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      11.929ms        34.43%      11.929ms      18.638us           0 B           0 B           0 B           0 B           640  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       8.539ms        24.65%       8.539ms      53.371us           0 B           0 B           0 B           0 B           160  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       6.145ms        17.74%       6.145ms      38.407us           0 B           0 B           0 B           0 B           160  
                     aten::_efficient_attention_forward         1.02%       1.083ms         2.43%       2.586ms      16.161us       5.654ms        16.32%       5.654ms      35.337us       2.50 KB           0 B     320.00 KB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       5.654ms        16.32%       5.654ms      35.337us           0 B           0 B           0 B           0 B           160  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us       5.654ms        16.32%       5.654ms      35.337us           0 B           0 B           0 B           0 B           160  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       5.073ms        14.64%       5.073ms     253.675us           0 B           0 B           0 B           0 B            20  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us       5.073ms        14.64%       5.073ms     253.675us           0 B           0 B           0 B           0 B            20  
