-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      34.081ms        86.34%      34.081ms     213.007us           0 B           0 B           0 B           0 B           160  
                                               aten::mm         5.67%       8.602ms         7.76%      11.770ms      10.325us      22.495ms        56.99%      22.495ms      19.733us           0 B           0 B       3.99 MB       3.99 MB          1140  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us      17.629ms        44.66%      17.629ms     110.182us           0 B           0 B           0 B           0 B           160  
                                                rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      16.222ms        41.10%      16.222ms      47.713us           0 B           0 B           0 B           0 B           340  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      11.835ms        29.98%      11.835ms      18.492us           0 B           0 B           0 B           0 B           640  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       8.482ms        21.49%       8.482ms      53.011us           0 B           0 B           0 B           0 B           160  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       6.198ms        15.70%       6.198ms      38.737us           0 B           0 B           0 B           0 B           160  
                     aten::_efficient_attention_forward         0.74%       1.128ms         1.73%       2.627ms      16.420us       6.048ms        15.32%       6.048ms      37.799us       2.50 KB           0 B     320.00 KB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       6.048ms        15.32%       6.048ms      37.799us           0 B           0 B           0 B           0 B           160  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       5.078ms        12.86%       5.078ms     253.881us           0 B           0 B           0 B           0 B            20  
