-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         6.86%       7.772ms         9.45%      10.711ms       9.396us      25.607ms        47.23%      25.607ms      22.462us           0 B           0 B      15.98 MB      15.98 MB          1140  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us      25.607ms        47.23%      25.607ms      22.462us           0 B           0 B           0 B           0 B          1140  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      21.541ms        39.73%      21.541ms     134.629us           0 B           0 B           0 B           0 B           160  
                     aten::_efficient_attention_forward         0.92%       1.046ms         2.24%       2.534ms      15.840us      15.408ms        28.42%      15.408ms      96.299us       2.50 KB           0 B       1.25 MB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us      15.408ms        28.42%      15.408ms      96.299us           0 B           0 B           0 B           0 B           160  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us      15.408ms        28.42%      15.408ms      96.299us           0 B           0 B           0 B           0 B           160  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       9.414ms        17.36%       9.414ms      58.836us           0 B           0 B           0 B           0 B           160  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       6.279ms        11.58%       6.279ms      39.242us           0 B           0 B           0 B           0 B           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.360ms         9.89%       5.360ms       5.584us           0 B           0 B           0 B           0 B           960  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us       5.134ms         9.47%       5.134ms     256.718us           0 B           0 B           0 B           0 B            20  
