-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         7.34%       9.023ms        10.16%      12.485ms      10.952us      24.182ms        57.85%      24.182ms      21.212us           0 B           0 B       7.99 MB       7.99 MB          1140  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us      24.182ms        57.85%      24.182ms      21.212us           0 B           0 B           0 B           0 B          1140  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      23.969ms        57.34%      23.969ms     149.808us           0 B           0 B           0 B           0 B           160  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       9.434ms        22.57%       9.434ms      58.961us           0 B           0 B           0 B           0 B           160  
                     aten::_efficient_attention_forward         1.01%       1.242ms         2.43%       2.983ms      18.645us       8.234ms        19.70%       8.234ms      51.463us       2.50 KB           0 B     640.00 KB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       8.234ms        19.70%       8.234ms      51.463us           0 B           0 B           0 B           0 B           160  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us       8.234ms        19.70%       8.234ms      51.463us           0 B           0 B           0 B           0 B           160  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       6.706ms        16.04%       6.706ms      41.913us           0 B           0 B           0 B           0 B           160  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us       5.081ms        12.16%       5.081ms     254.050us           0 B           0 B           0 B           0 B            20  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       4.346ms        10.40%       4.346ms      27.164us           0 B           0 B           0 B           0 B           160  
