-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         6.45%       7.785ms         8.93%      10.776ms       9.453us      26.836ms        40.01%      26.836ms      23.540us           0 B           0 B      31.95 MB      31.95 MB          1140  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      26.836ms        40.01%      26.836ms      23.540us           0 B           0 B           0 B           0 B          1140  
                     aten::_efficient_attention_forward         0.87%       1.051ms         2.12%       2.558ms      15.990us      23.746ms        35.41%      23.746ms     148.413us       2.50 KB           0 B       2.50 MB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us      23.746ms        35.41%      23.746ms     148.413us           0 B           0 B           0 B           0 B           160  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us      23.746ms        35.41%      23.746ms     148.413us           0 B           0 B           0 B           0 B           160  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      21.153ms        31.54%      21.153ms     132.207us           0 B           0 B           0 B           0 B           160  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       9.624ms        14.35%       9.624ms      60.151us           0 B           0 B           0 B           0 B           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       8.892ms        13.26%       8.892ms       9.263us           0 B           0 B           0 B           0 B           960  
                                   attention/gqa_repeat         0.00%       0.000us         0.00%       0.000us       0.000us       7.937ms        11.83%       7.937ms      49.603us           0 B           0 B           0 B           0 B           160  
                                            aten::copy_         0.76%     919.194us         5.71%       6.898ms      20.288us       7.827ms        11.67%       7.827ms      23.020us           0 B           0 B           0 B           0 B           340  
