-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      34.445ms        59.94%      34.445ms     215.279us           0 B           0 B           0 B           0 B           160  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us      25.622ms        44.59%      25.622ms     160.137us           0 B           0 B           0 B           0 B           160  
                                               aten::mm         5.13%       8.496ms         7.02%      11.642ms      10.212us      24.707ms        43.00%      24.707ms      21.672us           0 B           0 B      15.98 MB      15.98 MB          1140  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us      24.707ms        43.00%      24.707ms      21.672us           0 B           0 B           0 B           0 B          1140  
                                                rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      14.465ms        25.17%      14.465ms      42.545us           0 B           0 B           0 B           0 B           340  
                     aten::_efficient_attention_forward         0.69%       1.136ms         1.55%       2.561ms      16.008us      13.962ms        24.30%      13.962ms      87.260us       2.50 KB           0 B       1.25 MB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us      13.962ms        24.30%      13.962ms      87.260us           0 B           0 B           0 B           0 B           160  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       9.126ms        15.88%       9.126ms      57.038us           0 B           0 B           0 B           0 B           160  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       6.421ms        11.17%       6.421ms      40.132us           0 B           0 B           0 B           0 B           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.155ms        10.71%       6.155ms       3.847us           0 B           0 B           0 B           0 B          1600  
